File,Prev_weight,Y_threshold,R_annotations,Positive,%ofPositive,FalsePositive,%OfFalsePositive,FalseNegative,%OfFalseNegative
TOTAL,0.2,0.1,15311,11374,0.7429,25888,1.6908,3937,0.2571
TOTAL,0.2,0.2,30622,25616,0.8365,59974,1.9585,5006,0.1635
TOTAL,0.2,0.3,45933,40295,0.8773,104080,2.2659,5638,0.1227
TOTAL,0.2,0.4,61244,55116,0.8999,154263,2.5188,6128,0.1001
TOTAL,0.2,0.5,76555,69997,0.9143,207526,2.7108,6558,0.0857
TOTAL,0.2,0.6,91866,84892,0.9241,262210,2.8543,6974,0.0759
TOTAL,0.3,0.1,107177,96262,0.8982,288135,2.6884,10915,0.1018
TOTAL,0.3,0.2,122488,110501,0.9021,322265,2.6310,11987,0.0979
TOTAL,0.3,0.3,137799,125180,0.9084,366398,2.6589,12619,0.0916
TOTAL,0.3,0.4,153110,140002,0.9144,416606,2.7210,13108,0.0856
TOTAL,0.3,0.5,168421,154883,0.9196,469892,2.7900,13538,0.0804
TOTAL,0.3,0.6,183732,169778,0.9241,524600,2.8552,13954,0.0759
TOTAL,0.4,0.1,199043,181144,0.9101,550541,2.7659,17899,0.0899
TOTAL,0.4,0.2,214354,195378,0.9115,584746,2.7279,18976,0.0885
TOTAL,0.4,0.3,229665,210058,0.9146,628891,2.7383,19607,0.0854
TOTAL,0.4,0.4,244976,224878,0.9180,679126,2.7722,20098,0.0820
TOTAL,0.4,0.5,260287,239759,0.9211,732425,2.8139,20528,0.0789
TOTAL,0.4,0.6,275598,254654,0.9240,787138,2.8561,20944,0.0760
TOTAL,0.5,0.1,290909,266019,0.9144,813087,2.7950,24890,0.0856
TOTAL,0.5,0.2,306220,280254,0.9152,847305,2.7670,25966,0.0848
TOTAL,0.5,0.3,321531,294934,0.9173,891465,2.7726,26597,0.0827
TOTAL,0.5,0.4,336842,309754,0.9196,941709,2.7957,27088,0.0804
TOTAL,0.5,0.5,352153,324635,0.9219,995011,2.8255,27518,0.0781
TOTAL,0.5,0.6,367464,339530,0.9240,1049731,2.8567,27934,0.0760
TOTAL,0.6,0.1,382775,350894,0.9167,1075729,2.8103,31881,0.0833
TOTAL,0.6,0.2,398086,365129,0.9172,1109958,2.7882,32957,0.0828
TOTAL,0.6,0.3,413397,379809,0.9188,1154128,2.7918,33588,0.0812
TOTAL,0.6,0.4,428708,394629,0.9205,1204376,2.8093,34079,0.0795
TOTAL,0.6,0.5,444019,409510,0.9223,1257683,2.8325,34509,0.0777
TOTAL,0.6,0.6,459330,424405,0.9240,1312406,2.8572,34925,0.0760
TOTAL,0.7,0.1,474641,435768,0.9181,1338411,2.8198,38873,0.0819
TOTAL,0.7,0.2,489952,449999,0.9185,1372644,2.8016,39953,0.0815
TOTAL,0.7,0.3,505263,464678,0.9197,1416823,2.8041,40585,0.0803
TOTAL,0.7,0.4,520574,479498,0.9211,1467078,2.8182,41076,0.0789
TOTAL,0.7,0.5,535885,494379,0.9225,1520387,2.8372,41506,0.0775
TOTAL,0.7,0.6,551196,509274,0.9239,1575111,2.8576,41922,0.0761
TOTAL,0.8,0.1,566507,520637,0.9190,1601117,2.8263,45870,0.0810
TOTAL,0.8,0.2,581818,534871,0.9193,1635356,2.8108,46947,0.0807
TOTAL,0.8,0.3,597129,549550,0.9203,1679535,2.8127,47579,0.0797
TOTAL,0.8,0.4,612440,564370,0.9215,1729790,2.8244,48070,0.0785
TOTAL,0.8,0.5,627751,579251,0.9227,1783102,2.8405,48500,0.0773
TOTAL,0.8,0.6,643062,594146,0.9239,1837826,2.8579,48916,0.0761
TOTAL,0.9,0.1,658373,605509,0.9197,1863836,2.8310,52864,0.0803
TOTAL,0.9,0.2,673684,619743,0.9199,1898079,2.8175,53941,0.0801
TOTAL,0.9,0.3,688995,634422,0.9208,1942262,2.8190,54573,0.0792
TOTAL,0.9,0.4,704306,649244,0.9218,1992520,2.8291,55062,0.0782
TOTAL,0.9,0.5,719617,664125,0.9229,2045832,2.8429,55492,0.0771
TOTAL,0.9,0.6,734928,679020,0.9239,2100556,2.8582,55908,0.0761
TOTAL,0.95,0.1,750239,690380,0.9202,2126572,2.8345,59859,0.0798
TOTAL,0.95,0.2,765550,704614,0.9204,2160815,2.8226,60936,0.0796
TOTAL,0.95,0.3,780861,719293,0.9212,2205000,2.8238,61568,0.0788
TOTAL,0.95,0.4,796172,734115,0.9221,2255258,2.8326,62057,0.0779
TOTAL,0.95,0.5,811483,748996,0.9230,2308570,2.8449,62487,0.0770
TOTAL,0.95,0.6,826794,763891,0.9239,2363294,2.8584,62903,0.0761
